"party_name","dep_number","dep_perc_from_total","hromada_name","rayon","hromada","oblast","votes_per_party","total"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",34,63,"Вінницький р-н, Вінницька міська рада","Вінницький р-н","Вінницька","Вінницька область",45954,54
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",9,17,"Вінницький р-н, Вінницька міська рада","Вінницький р-н","Вінницька","Вінницька область",11928,54
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",6,11,"Вінницький р-н, Вінницька міська рада","Вінницький р-н","Вінницька","Вінницька область",6404,54
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",5,9,"Вінницький р-н, Вінницька міська рада","Вінницький р-н","Вінницька","Вінницька область",5845,54
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",13,31,"Луцький р-н, Луцька міська рада","Луцький р-н","Луцька","Волинська область",14966,42
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",9,21,"Луцький р-н, Луцька міська рада","Луцький р-н","Луцька","Волинська область",10284,42
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""СВІДОМІ""",6,14,"Луцький р-н, Луцька міська рада","Луцький р-н","Луцька","Волинська область",5405,42
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",5,12,"Луцький р-н, Луцька міська рада","Луцький р-н","Луцька","Волинська область",5112,42
"політична партія Всеукраїнське об’єднання ""Свобода""",5,12,"Луцький р-н, Луцька міська рада","Луцький р-н","Луцька","Волинська область",5060,42
"політична партія Всеукраїнське об’єднання ""Батьківщина""",4,10,"Луцький р-н, Луцька міська рада","Луцький р-н","Луцька","Волинська область",3887,42
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",22,34,"Дніпровський р-н, Дніпровська міська рада","Дніпровський р-н","Дніпровська","Дніпропетровська область",62100,64
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",13,20,"Дніпровський р-н, Дніпровська міська рада","Дніпровський р-н","Дніпровська","Дніпропетровська область",36959,64
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",9,14,"Дніпровський р-н, Дніпровська міська рада","Дніпровський р-н","Дніпровська","Дніпропетровська область",25308,64
"Партія ""Громадська сила""",8,12,"Дніпровський р-н, Дніпровська міська рада","Дніпровський р-н","Дніпровська","Дніпропетровська область",20894,64
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",7,11,"Дніпровський р-н, Дніпровська міська рада","Дніпровський р-н","Дніпровська","Дніпропетровська область",17135,64
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",5,8,"Дніпровський р-н, Дніпровська міська рада","Дніпровський р-н","Дніпровська","Дніпропетровська область",13263,64
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",16,38,"Житомирський р-н, Житомирська міська рада","Житомирський р-н","Житомирська","Житомирська область",17712,42
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",7,17,"Житомирський р-н, Житомирська міська рада","Житомирський р-н","Житомирська","Житомирська область",7496,42
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",6,14,"Житомирський р-н, Житомирська міська рада","Житомирський р-н","Житомирська","Житомирська область",5994,42
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",6,14,"Житомирський р-н, Житомирська міська рада","Житомирський р-н","Житомирська","Житомирська область",5953,42
"Політична партія ""Сила і Честь""",4,10,"Житомирський р-н, Житомирська міська рада","Житомирський р-н","Житомирська","Житомирська область",3947,42
"політична партія Всеукраїнське об’єднання ""Батьківщина""",3,7,"Житомирський р-н, Житомирська міська рада","Житомирський р-н","Житомирська","Житомирська область",2852,42
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8,21,"Ужгородський р-н, Ужгородська міська рада","Ужгородський р-н","Ужгородська","Закарпатська область",4244,38
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",7,18,"Ужгородський р-н, Ужгородська міська рада","Ужгородський р-н","Ужгородська","Закарпатська область",3894,38
"ПОЛІТИЧНА ПАРТІЯ ""РІДНЕ ЗАКАРПАТТЯ""",6,16,"Ужгородський р-н, Ужгородська міська рада","Ужгородський р-н","Ужгородська","Закарпатська область",2814,38
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",6,16,"Ужгородський р-н, Ужгородська міська рада","Ужгородський р-н","Ужгородська","Закарпатська область",2784,38
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",6,16,"Ужгородський р-н, Ужгородська міська рада","Ужгородський р-н","Ужгородська","Закарпатська область",2722,38
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ТВОГО МІСТА""",5,13,"Ужгородський р-н, Ужгородська міська рада","Ужгородський р-н","Ужгородська","Закарпатська область",2524,38
