"party_name","votes_local","dep_number","oblast","percent_local","votes_parlam","percent_parlam","difference","max_value","max_percent"
"Європейська солідарність",53425,11,"Вінницька область",31.5840191070753,51448,12.7602371090553,1977,53425,31.5840191070753
"Батьківщина",49510,11,"Вінницька область",29.2695327279607,62282,15.4473077209256,-12772,62282,29.2695327279607
"Слуга народу",36003,8,"Вінницька область",21.2844069239501,235233,58.3429648552791,-199230,235233,58.3429648552791
"Опозиційна платформа - за життя",30214,7,"Вінницька область",17.862041241014,33602,8.33403606240234,-3388,33602,17.862041241014
"Європейська солідарність",39753,9,"Волинська область",34.1051818805765,31680,11.7696448673129,8073,39753,34.1051818805765
"Батьківщина",36767,9,"Волинська область",31.5434111187371,51628,19.180657361415,-14861,51628,31.5434111187371
"Слуга народу",30818,8,"Волинська область",26.439601921757,164771,61.2151563898992,-133953,164771,61.2151563898992
"Опозиційна платформа - за життя",9222,0,"Волинська область",7.91180507892931,14923,5.54414174100094,-5701,14923,7.91180507892931
"Слуга народу",177428,30,"Дніпропетровська область",37.384036122366,714378,63.6939529003307,-536950,714378,63.6939529003307
"Опозиційна платформа - за життя",156796,27,"Дніпропетровська область",33.03687877811,191161,17.0439175483849,-34365,191161,33.03687877811
"Європейська солідарність",69819,13,"Дніпропетровська область",14.7108461912859,58547,5.2200513740004,11272,69819,14.7108461912859
"Батьківщина",39592,8,"Дніпропетровська область",8.34202469822528,59318,5.28879374524666,-19726,59318,8.34202469822528
"Партія Шарія",30974,0,"Дніпропетровська область",6.52621421001287,39941,3.56114014260253,-8967,39941,6.52621421001287
"Слуга народу",58198,11,"Житомирська область",36.0174028208413,228398,62.8691599846955,-170200,228398,62.8691599846955
"Європейська солідарність",42407,9,"Житомирська область",26.2447163377335,34186,9.41008723034702,8221,42407,26.2447163377335
"Опозиційна платформа - за життя",35941,7,"Житомирська область",22.2430577474115,39656,10.9157672499456,-3715,39656,22.2430577474115
"Батьківщина",25037,6,"Житомирська область",15.4948230940136,48361,13.3119179941149,-23324,48361,15.4948230940136
"Слуга народу",58783,11,"Закарпатська область",37.0632148396615,188323,63.6099561236105,-129540,188323,63.6099561236105
"Батьківщина",42432,8,"Закарпатська область",26.7537609866206,37931,12.8119732891079,4501,42432,26.7537609866206
"Європейська солідарність",30407,6,"Закарпатська область",19.1718893834882,17316,5.84883418507797,13091,30407,19.1718893834882
"Опозиційна платформа - за життя",26980,6,"Закарпатська область",17.0111347902296,30270,10.2243133969918,-3290,30270,17.0111347902296
