party_name,dep_amount
Аграрна партія України,159
Демократична партія угорців України,19
"""КМКС"" Партія угорців України",88
Молодіжна партія України,0
Народна Партія,9
Партія ветеранів Афганістану,2
"Партія ""Громадська сила""",29
"Партія ""За Права Людини""",2
Партія захисників Вітчизни,0
Партія Зелених України,5
Партія Пенсіонерів України,5
"Партія ""Справедливість""",3
Партія Християнсько-Демократичний Союз,3
"ПОЛІТИЧНА ПАРТІЯ ""АДВОКАТ""",0
"Політична Партія ""АКЦЕНТ""",0
"ПОЛІТИЧНА ПАРТІЯ ""АЛЬТЕРНАТИВА""",0
"ПОЛІТИЧНА ПАРТІЯ ""БЕРЕЗАНСЬКА ГРОМАДА""",14
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВАДИМА БОЙЧЕНКА""",29
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",80
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВОЛОДИМИРА САЛЬДО""",10
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЕДУАРДА ГУРВІЦА""",0
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!""",202
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК СВІТЛИЧНОЇ РАЗОМ!""",172
"ПОЛІТИЧНА ПАРТІЯ ""ВАРТА (ВСЕУКРАЇНСЬКИЙ АЛЬЯНС РЕГІОНАЛЬНИХ І ТЕРИТОРІАЛЬНИХ АКТИВІСТІВ)""",27
"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ""",10
"політична партія Всеукраїнське об’єднання ""Батьківщина""",2657
"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ’ЄДНАННЯ ""ГРОМАДСЬКИЙ КОНТРОЛЬ""",4
"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ ""ПЛАТФОРМА ГРОМАД""",137
"політична партія Всеукраїнське об’єднання ""Свобода""",478
"політична партія Всеукраїнське об’єднання ""ЧЕРКАЩАНИ""",261
