"party_name","dep_amount"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",40
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",252
"політична партія Всеукраїнське об’єднання ""Батьківщина""",180
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",293
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",218
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",183
"Політична партія ""Радикальна Партія Олега Ляшка""",27
"Політична партія ""Сила і Честь""",16
"Політична партія ""НАШ КРАЙ""",43
"політична партія Всеукраїнське об’єднання ""Свобода""",50
"Аграрна партія України",12
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",35
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",16
"Партія ""Громадська сила""",9
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ШАРІЯ""",6
"ПОЛІТИЧНА ПАРТІЯ ""РІДНЕ ЗАКАРПАТТЯ""",12
"""КМКС"" Партія угорців України",8
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА АНДРІЯ БАЛОГИ""",7
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВОЛОДИМИРА БУРЯКА ""ЄДНАННЯ""",9
"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",8
"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ ""ПЛАТФОРМА ГРОМАД""",10
"Політична Партія ""ГОЛОС""",7
"Політична партія ""Українська Галицька Партія""",6
"Політична партія ""Об’єднання ""САМОПОМІЧ""",9
"Політична партія ""Народний Рух України""",6
"Політична партія ""ДОВІРЯЙ ДІЛАМ""",11
"ПОЛІТИЧНА ПАРТІЯ ""ДОВІРА""",22
"Політична партія ""Рідне місто""",9
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!""",46
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК СВІТЛИЧНОЇ РАЗОМ!""",17
"Політична партія ""Партія Ігоря Колихаєва ""НАМ ТУТ ЖИТИ!""",13
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВОЛОДИМИРА САЛЬДО""",5
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА СИМЧИШИНА""",13
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ""",10
"політична партія Всеукраїнське об’єднання ""ЧЕРКАЩАНИ""",18
"ПОЛІТИЧНА ПАРТІЯ ""ЄДИНА АЛЬТЕРНАТИВА""",9
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ""",6
"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ""",19
