"party_name","dep_amount"
"Самовисування",6660
"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ""",2851
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",530
"ПОЛІТИЧНА ПАРТІЯ ""ЗА МАЙБУТНЄ""",3389
"політична партія Всеукраїнське об’єднання ""Батьківщина""",3740
"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",5036
"Політична партія ""Сила і Честь""",466
"політична партія Всеукраїнське об’єднання ""Свобода""",673
"ПОЛІТИЧНА ПАРТІЯ ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",3014
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВІННИЧАН""",7
"Політична партія ""Європейська партія України""",33
"Аграрна партія України",259
"ПОЛІТИЧНА ПАРТІЯ ""ПРОПОЗИЦІЯ""",441
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""",129
"Партія ""Громадська сила""",32
"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",163
"Політична партія ""НАШ КРАЙ""",1578
"Політична партія ""Радикальна Партія Олега Ляшка""",422
"Політична партія ""Ліва опозиція""",13
"Народна Партія",9
"""КМКС"" Партія угорців України",101
"ПОЛІТИЧНА ПАРТІЯ ""РІДНЕ ЗАКАРПАТТЯ""",292
"Демократична партія угорців України",20
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА АНДРІЯ БАЛОГИ""",157
"Політична партія ""Об’єднання ""САМОПОМІЧ""",177
"Політична партія ""НОВА ПОЛІТИКА""",33
"ПОЛІТИЧНА ПАРТІЯ ""ПОРЯДОК""",112
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ВОЛОДИМИРА БУРЯКА ""ЄДНАННЯ""",41
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА СЕРГІЯ МІНЬКА""",33
"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",159
"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ ОБ'ЄДНАННЯ ""ПЛАТФОРМА ГРОМАД""",181
"Політична партія ""Перемога Пальчевського""",60
"Політична Партія ""ГОЛОС""",271
"Політична партія ""Українська Галицька Партія""",196
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА СЛАВЕТНА""",20
"Політична партія ""Нові обличчя""",35
"Політична партія ""Рідне місто""",171
"Політична партія ""Народний Рух України""",169
"Політична партія ""ДОВІРЯЙ ДІЛАМ""",183
"ПОЛІТИЧНА ПАРТІЯ ""ДОВІРА""",398
"Українська Народна Партія",27
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ РОЗВИТКУ ГРОМАД""",8
"Політична партія ""Сила Людей""",108
"Політична партія ""Українська православна асамблея""",6
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!""",260
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК СВІТЛИЧНОЇ РАЗОМ!""",243
"Політична партія ""Партія Ігоря Колихаєва ""НАМ ТУТ ЖИТИ!""",133
"Політична партія ""Партія місцевого самоврядування""",26
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВОЛОДИМИРА САЛЬДО""",13
"ПОЛІТИЧНА ПАРТІЯ ""ЗА КОНКРЕТНІ СПРАВИ""",277
"ПОЛІТИЧНА ПАРТІЯ ""ОСНОВА""",19
"політична партія Всеукраїнське об’єднання ""ЧЕРКАЩАНИ""",290
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА СЕРГІЯ РУДИКА. ЧАС ЗМІН!""",38
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ""",65
"ПОЛІТИЧНА ПАРТІЯ ""ЄДИНА АЛЬТЕРНАТИВА""",51
"ПОЛІТИЧНА ПАРТІЯ ""РІДНИЙ ДІМ""",373
"ПОЛІТИЧНА ПАРТІЯ ""РЕСПУБЛІКАНСЬКА ПАРТІЯ""",2
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДЯНСЬКИЙ РУХ ""СВІДОМІ""",6
"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",11
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ МИКОЛИ ТОМЕНКА ""РІДНА КРАЇНА""",17
"Політична партія ""Громадянський рух ""Хвиля""",6
"ПОЛІТИЧНА ПАРТІЯ ""ЄДИНА ГРОМАДА""",3
"Партія ""Справедливість""",7
"Політична партія ""Громадянська позиція""",112
"ПОЛІТИЧНА ПАРТІЯ ""ВАРТА (ВСЕУКРАЇНСЬКИЙ АЛЬЯНС РЕГІОНАЛЬНИХ І ТЕРИТОРІАЛЬНИХ АКТИВІСТІВ)""",33
"ПОЛІТИЧНА ПАРТІЯ ""КРАЇНА""",7
"Українська морська партія Сергія Ківалова",3
"ПОЛІТИЧНА ПАРТІЯ ""АДВОКАТ""",0
"ПОЛІТИЧНА ПАРТІЯ ""НАШІ""",6
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",6
"Партія Зелених України",24
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ШАРІЯ""",33
"Українська партія честі, боротьби з корупцією та організованою злочинністю",0
"ПОЛІТИЧНА ПАРТІЯ ""РУХ СПРАВЕДЛИВОСТІ""",0
"ПОЛІТИЧНА ПАРТІЯ ""ВОЛЯ""",10
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКО-ПОЛІТИЧНА ПЛАТФОРМА НАДІЇ САВЧЕНКО""",0
"Партія Пенсіонерів України",7
"ПОЛІТИЧНА ПАРТІЯ ""НАЦІОНАЛЬНИЙ КОРПУС""",18
"Політична партія ""ПОБРАТИМИ УКРАЇНИ""",0
"Політична партія ""ЕКО ПАРТІЯ БЕРЕЗИ""",0
"Політична партія ДемАльянс (Демократичний альянс)",0
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА ДНІПРА""",0
"ПОЛІТИЧНА ПАРТІЯ ""СПРАВА""",0
"Політична партія ""Солідарність жінок України""",2
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА ЛЕВЧЕНКА ""НАРОДОВЛАДДЯ""",3
"ПОЛІТИЧНА ПАРТІЯ ""БДЖОЛА""",21
"Партія захисників Вітчизни",4
"ПОЛІТИЧНА ПАРТІЯ ""КОМАНДА МАКСИМА ЄФІМОВА ""НАШ КРАМАТОРСЬК""",12
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ МИРУ ТА РОЗВИТКУ""",10
"ПОЛІТИЧНА ПАРТІЯ ""ДЕМОКРАТИЧНА СОКИРА""",0
"Політична партія ""Республіканська платформа""",11
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ВАДИМА БОЙЧЕНКА""",33
"Молодіжна партія України",6
"ПОЛІТИЧНА ПАРТІЯ ""ЛІБЕРТАРІАНСЬКА ПАРТІЯ 5.10""",0
"Всеукраїнська політична партія ""БРАТСТВО""",0
"ПОЛІТИЧНА ПАРТІЯ ""АЛЬТЕРНАТИВА""",0
"Політична партія ""ГРОМАДА І ЗАКОН""",2
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ТВОГО МІСТА""",5
"Політична партія ""ПАТРІОТ""",3
"ПОЛІТИЧНА ПАРТІЯ ""ІДЕЯ НАЦІЇ""",3
